employeeId,distanceTravelledInKm,energyConsumed,fuelConsumed
EMP001,150.5,30.2,15.7
EMP002,220.8,40.5,20.3
EMP003,180.3,35.1,18.5
EMP004,200.0,37.8,19.9
EMP005,190.2,36.4,19.2
EMP006,240.7,42.3,21.5
EMP007,210.1,39.6,20.8
EMP008,170.9,34.8,18.1
EMP009,160.4,32.5,16.9
EMP010,225.6,41.2,21.0
EMP011,130.3,28.1,14.6
EMP012,140.8,29.7,15.3
EMP013,155.2,32.0,16.2
EMP014,132.7,28.9,15.0
EMP015,0.0,0.0,0.0
EMP016,0.0,0.0,0.0
EMP017,185.9,35.8,18.8
EMP018,195.4,36.6,19.3
EMP019,205.6,38.4,20.2
EMP020,215.3,40.1,20.7
EMP021,172.5,34.0,17.7
EMP022,180.7,35.5,18.6
EMP023,175.2,34.3,17.9
EMP024,165.8,33.2,17.3
EMP025,0.0,0.0,0.0
EMP026,0.0,0.0,0.0
EMP027,0.0,0.0,0.0
EMP028,0.0,0.0,0.0
EMP029,0.0,0.0,0.0
EMP030,0.0,0.0,0.0
EMP031,195.7,36.7,19.4
EMP032,185.1,35.6,18.7
EMP033,0.0,0.0,0.0
EMP034,203.2,38.1,20.0
EMP035,173.4,34.2,17.8
EMP036,162.8,32.9,17.1
EMP037,176.3,34.5,18.0
EMP038,0.0,0.0,0.0
EMP039,189.6,36.2,18.9
EMP040,155.8,31.8,16.5
EMP041,183.7,35.4,18.6
EMP042,220.5,40.4,20.5
EMP043,167.9,33.7,17.5
EMP044,178.5,34.9,18.2
EMP045,184.3,35.7,18.8
EMP046,0.0,0.0,0.0
EMP047,0.0,0.0,0.0
EMP048,206.7,38.7,20.3
EMP049,195.2,36.5,19.2
EMP050,143.6,30.2,15.7
EMP051,0.0,0.0,0.0
EMP052,166.4,33.4,17.4
EMP053,174.8,34.3,17.9
EMP054,188.2,36.0,18.7
EMP055,169.0,33.6,17.5
EMP056,155.5,31.8,16.5
EMP057,167.3,33.5,17.4
EMP058,0.0,0.0,0.0
EMP059,179.6,35.1,18.4
EMP060,165.4,33.1,17.3
EMP061,176.8,34.6,18.0
EMP062,162.3,32.8,17.1
EMP063,168.7,33.7,17.5
EMP064,185.9,35.8,18.8
EMP065,201.2,37.9,19.9
EMP066,0.0,0.0,0.0
EMP067,175.6,34.4,18.0
EMP068,0.0,0.0,0.0
EMP069,159.3,32.3,16.8
EMP070,193.7,36.9,19.4
